Index,NO,NO2,NOx,NH3,CO,SO2,class
12045,26.53,65.27,54.87,39.92,1.95,9.07,2
2395,3.68,26.38,0.0,23.74,0.63,5.21,0
14339,1.09,5.21,3.25,3.13,0.89,2.4,0
8012,4.13,10.04,17.54,4.99,0.3,10.37,0
2265,1.54,19.23,0.0,22.38,14.89,3.34,0
4972,5.48,20.18,16.1,126.82,1.06,3.49,3
12874,10.76,8.48,18.47,8.25,0.44,6.67,0
2402,17.58,39.31,0.0,31.68,0.56,5.68,1
8341,2.2,1.05,2.33,9.27,0.95,6.73,0
2302,6.48,26.88,0.0,30.64,0.26,6.36,0
34,10.26,0.45,14.04,31.28,0.47,5.66,0
7134,15.0,29.8,28.63,24.13,0.75,11.95,1
13107,0.51,1.58,0.67,1.62,0.15,3.65,0
12751,22.61,33.59,56.18,18.07,0.89,10.19,2
3883,12.66,13.59,21.32,64.38,2.18,7.26,1
11531,50.69,49.78,100.07,27.8,0.88,11.97,2
5757,7.44,17.69,24.6,87.37,0.52,8.7,3
7212,121.66,65.87,142.92,49.26,2.59,15.89,4
2203,9.74,31.49,0.0,26.58,1.88,5.34,0
12585,26.62,11.72,35.38,9.47,0.46,11.22,0
6045,18.64,54.29,68.84,46.09,6.67,6.73,2
8495,5.26,10.41,14.27,10.31,0.85,5.67,0
10498,12.42,37.51,42.88,17.41,0.75,12.66,1
9097,4.83,49.21,29.91,18.86,0.88,8.69,1
5685,5.4,13.42,14.99,11.59,0.77,5.38,0
13890,1.75,12.11,7.84,6.18,0.92,4.95,0
6532,42.23,87.85,98.02,54.59,1.3,15.09,2
2476,11.34,31.38,0.0,25.08,0.58,4.68,0
2882,5.97,27.84,21.97,15.24,0.87,5.44,0
4032,8.98,8.46,12.45,64.1,2.16,9.24,1
6112,21.3,50.51,200.34,43.18,2.26,7.68,4
12085,45.79,62.96,69.19,48.72,1.03,15.52,2
2656,18.82,18.39,26.63,19.67,0.81,6.18,0
2570,11.14,45.27,31.34,48.27,0.96,4.91,1
4048,13.26,8.22,9.23,73.66,1.4,10.75,1
12892,18.58,6.99,24.9,7.04,0.4,10.28,0
14359,1.52,3.65,6.45,2.28,2.44,4.11,0
2273,10.35,57.48,0.0,22.83,0.68,5.79,1
9874,23.69,25.74,26.47,15.14,0.51,9.14,1
10818,3.06,11.97,12.76,17.73,0.62,12.14,0
4573,3.95,13.37,14.54,53.49,1.85,8.31,1
13453,24.0,8.04,32.04,7.52,2.11,33.75,0
10714,8.7,60.65,55.85,41.64,1.24,12.76,2
60,7.71,26.19,19.87,13.12,0.1,19.37,0
8613,10.82,66.72,20.79,34.59,0.3,30.29,1
5967,10.2,17.14,22.27,33.16,7.87,8.8,1
6862,44.05,66.41,5.96,78.25,1.91,25.0,1
2679,22.69,17.92,32.55,19.65,0.79,7.56,1
7802,4.26,2.8,6.77,3.4,1.18,3.1,0
830,2.21,7.94,6.02,9.82,0.47,22.1,0
13409,21.84,0.97,21.56,6.88,2.54,13.65,0
4947,4.12,11.82,10.24,126.4,1.31,2.92,3
7512,12.82,28.0,26.89,23.99,0.96,8.5,1
5867,7.28,9.43,13.82,43.97,0.61,4.12,1
11358,30.54,34.18,64.04,10.32,0.79,5.42,2
8428,5.12,7.15,10.77,10.4,0.73,7.28,0
6824,66.78,70.1,104.82,73.63,2.44,13.94,4
6582,32.87,68.9,39.01,28.84,0.41,20.99,2
6556,162.93,112.59,142.64,89.56,2.28,40.23,4
10854,84.56,14.51,74.31,2.91,1.24,20.96,2
4070,18.24,11.19,23.64,76.09,1.02,11.32,1
6195,24.98,42.63,55.71,28.72,2.29,18.92,2
4483,46.92,54.96,14.34,9.96,1.25,10.87,1
13549,45.17,6.97,34.79,9.79,1.37,23.95,0
5065,11.78,14.82,14.32,106.54,0.93,20.61,3
1090,15.63,11.35,26.98,9.42,0.0,2.15,0
8946,8.27,17.97,12.7,6.2,0.0,5.13,0
8259,22.15,20.19,57.99,15.21,0.43,13.32,1
11559,20.01,47.57,67.78,26.35,0.78,10.72,2
13674,39.71,1.9,40.38,8.35,1.68,36.34,0
8373,7.51,6.96,11.27,5.97,0.94,8.51,0
12872,8.18,7.58,15.5,9.2,0.39,6.49,0
1275,11.67,10.68,20.93,11.57,0.47,17.74,0
2771,10.45,28.44,30.83,20.64,0.89,5.46,1
11012,4.64,43.96,48.61,10.49,1.36,1.47,1
7179,57.41,65.98,86.56,51.21,1.99,19.65,2
9888,7.51,24.7,17.87,14.74,0.45,4.88,0
1858,3.66,13.89,9.7,32.2,1.21,2.01,0
1297,7.63,9.02,16.62,10.05,0.27,7.12,0
199,4.6,7.1,7.6,7.8,0.62,11.15,0
6040,54.87,72.67,100.54,35.74,6.89,14.33,2
4265,33.79,21.97,38.56,45.27,1.06,10.15,1
412,4.57,85.21,49.04,8.52,1.11,13.06,2
10433,10.27,31.52,35.16,21.24,0.63,11.82,1
11450,31.45,29.62,59.18,12.38,0.95,8.63,2
0,6.99,2.85,11.93,26.64,0.6,4.53,0
902,100.06,50.56,150.62,9.65,2.5,9.17,4
3415,5.45,39.37,25.46,16.05,0.82,14.48,1
4175,8.15,4.28,12.15,0.78,0.55,10.12,0
11452,61.28,61.02,117.62,29.31,1.37,12.42,4
3492,3.68,9.08,7.91,14.94,0.66,13.68,0
4368,2.41,10.02,7.16,53.38,0.54,11.08,1
7983,6.05,12.89,23.72,7.96,0.6,16.5,0
10029,9.45,28.36,32.45,22.27,0.62,9.0,1
11050,94.74,49.66,144.4,11.16,3.04,9.67,4
11331,6.2,25.17,29.17,73.45,0.49,11.54,1
1587,5.92,22.46,15.19,11.88,1.08,4.46,0
3318,9.73,47.42,33.14,19.9,0.96,10.06,1
2693,14.04,38.83,39.47,26.39,0.99,8.27,1
11678,10.67,42.64,31.15,52.54,0.85,13.4,1
11773,75.28,55.31,74.73,39.33,1.41,21.32,2
8134,53.03,18.23,106.59,3.84,0.88,10.17,2
13216,0.9,2.55,1.0,2.64,0.3,8.82,0
1301,13.5,9.19,22.22,10.72,0.57,5.57,0
7363,39.94,55.16,57.99,22.41,1.51,21.93,2
8275,29.82,24.63,34.24,16.54,0.55,15.2,1
13772,25.63,4.88,11.02,14.07,3.01,16.57,0
8123,7.91,8.85,22.46,6.74,0.36,9.64,0
9680,2.88,15.5,9.06,9.7,0.4,4.62,0
181,4.93,9.65,9.24,12.44,0.72,8.7,0
3923,3.91,13.5,11.8,32.12,1.91,3.01,0
2403,12.54,37.52,0.0,31.96,1.16,7.96,1
4820,6.95,8.99,11.29,3.59,0.83,2.56,0
6686,36.2,39.68,21.71,32.12,0.23,20.15,1
12202,19.24,50.61,41.53,27.55,1.7,11.83,1
603,1.53,18.88,11.36,3.49,0.38,14.79,0
3300,9.57,20.58,18.72,50.15,0.84,9.64,1
6850,23.86,53.85,3.63,41.49,1.56,21.69,1
5436,5.22,12.43,17.11,65.22,0.97,11.27,1
14456,0.9,3.75,2.15,1.31,0.7,1.05,0
2816,14.18,47.07,48.49,26.18,1.02,4.93,1
3939,1.96,15.31,7.76,35.84,1.8,1.74,0
794,1.94,10.81,7.33,15.98,0.38,20.25,0
14478,0.94,3.64,2.07,1.26,0.93,1.81,0
8395,5.24,9.76,13.55,10.46,0.86,8.74,0
8325,3.06,20.11,15.07,18.05,0.64,7.58,0
13336,27.12,2.51,21.98,20.68,2.41,53.46,0
12178,9.08,31.29,23.68,27.33,1.6,8.04,1
4915,12.32,18.13,13.96,99.27,0.19,1.44,3
3483,0.82,8.36,5.13,20.31,0.37,8.4,0
1995,5.45,25.51,16.91,22.67,0.86,4.7,0
5076,14.15,21.0,18.91,104.38,0.9,9.64,3
12835,17.35,50.32,67.68,21.45,0.75,14.57,2
12441,11.27,18.74,19.02,15.24,1.63,24.4,0
7992,3.0,11.79,17.53,8.27,0.52,10.56,0
11485,14.6,42.26,56.78,21.73,0.74,16.57,2
1640,2.38,12.9,8.3,21.5,8.53,2.08,0
10787,7.65,40.09,40.12,38.84,0.86,11.69,1
11304,6.12,26.06,29.01,4.27,0.53,2.0,0
1419,12.59,14.74,22.04,6.11,0.77,4.81,0
14396,1.1,3.08,9.72,6.12,0.68,2.32,0
2474,12.07,34.8,0.0,24.62,0.67,4.68,0
3408,10.38,43.3,31.56,20.43,1.31,15.23,1
11240,3.62,22.37,25.66,14.29,0.45,5.11,0
9583,2.34,19.64,12.24,9.98,0.46,4.77,0
13562,28.91,5.64,34.56,7.78,1.35,31.65,0
12018,52.26,75.24,81.44,67.51,1.5,8.52,2
1521,17.79,11.82,27.96,11.84,0.73,7.16,0
11535,57.23,69.37,124.05,29.31,0.9,17.62,4
7206,101.42,63.68,124.27,51.41,2.52,12.76,4
10834,3.07,13.61,14.18,20.34,0.73,12.19,0
1218,13.77,8.36,21.59,9.65,0.89,16.45,0
9746,7.56,36.08,24.79,12.29,0.75,5.45,1
9080,6.03,43.96,29.17,25.26,0.73,8.16,1
2644,12.84,28.4,33.72,20.06,0.83,7.55,1
8646,7.65,8.25,4.6,5.08,0.55,38.34,0
14576,8.87,16.21,15.81,11.92,1.59,9.48,0
12852,11.69,34.81,46.5,15.92,0.58,7.96,1
10676,13.49,46.5,47.89,46.88,1.03,11.89,1
9483,4.66,35.69,22.04,14.58,0.57,9.87,1
8830,14.07,46.38,14.55,15.98,0.06,10.87,1
10575,13.3,26.56,31.6,26.58,0.82,10.25,1
4607,5.52,18.96,17.64,46.58,2.31,10.8,1
10205,12.92,21.8,31.27,12.7,0.83,7.59,0
1216,73.32,63.38,95.71,50.53,0.76,12.84,4
3389,8.72,41.34,29.17,30.99,1.17,6.81,1
11706,14.63,67.75,47.82,51.3,1.27,9.83,2
3700,7.11,6.45,13.56,4.23,0.0,12.29,0
10446,12.16,28.92,38.5,25.05,0.8,12.73,1
5547,56.45,52.6,61.02,116.71,1.03,7.0,3
14014,2.79,17.41,11.47,2.6,0.92,5.28,0
7947,5.84,14.02,24.56,7.02,0.58,22.91,0
12131,6.56,26.45,18.38,34.32,0.77,6.41,1
13361,131.63,6.61,88.74,24.31,2.44,10.61,4
2461,15.67,28.51,0.0,24.61,1.01,4.79,0
3634,3.71,10.8,14.51,15.24,2.56,12.48,0
3351,28.12,61.43,55.53,21.99,1.71,15.11,2
6293,103.55,86.15,180.54,38.98,1.82,30.2,4
8192,14.53,12.47,37.22,14.36,0.7,12.18,0
3176,7.15,33.79,32.74,13.74,1.09,6.01,1
14139,2.7,7.97,6.42,2.7,1.01,5.68,0
11772,45.77,48.38,55.94,42.25,1.15,20.89,2
14676,5.38,8.15,11.04,5.46,0.48,5.47,0
2066,9.12,26.15,19.61,43.21,3.02,2.1,1
11608,3.88,7.8,11.72,13.43,0.34,7.69,0
7263,16.96,40.03,38.45,34.17,1.01,14.62,1
10108,8.07,26.94,30.48,16.3,0.49,7.75,1
10654,23.04,56.61,64.42,55.28,1.15,15.01,2
14543,15.77,23.24,23.25,11.04,1.5,8.61,0
8440,5.07,2.75,5.12,10.44,0.81,9.41,0
14291,0.9,4.32,2.99,3.58,0.65,1.27,0
5355,12.78,17.33,30.1,88.8,1.15,6.32,3
5363,11.95,21.91,31.42,101.65,0.94,8.6,3
14622,8.71,23.62,19.62,19.45,1.29,10.76,0
7119,17.6,27.63,30.0,30.05,1.06,9.96,1
12826,40.65,54.75,95.3,21.74,1.3,9.46,2
12026,29.6,76.48,63.46,35.75,1.72,7.61,2
9371,7.22,47.8,30.04,10.43,0.65,15.7,1
7866,4.25,12.23,10.32,40.59,0.58,8.55,0
10460,16.7,44.65,49.73,24.2,0.95,11.33,1
9988,53.83,84.12,55.09,43.26,0.0,12.06,2
13933,1.65,8.65,5.92,4.97,0.76,4.85,0
5353,8.86,19.05,27.9,93.1,0.84,5.44,3
11073,5.9,38.61,44.51,19.22,0.85,2.32,1
1699,0.95,14.82,10.67,5.61,4.52,7.13,0
3508,8.22,23.38,19.12,18.0,0.53,8.12,0
1407,9.54,10.06,19.6,4.93,0.71,8.9,0
12791,18.8,29.65,47.02,23.91,0.84,6.73,1
7201,26.91,46.57,50.88,36.97,1.34,15.12,2
3952,5.4,11.74,9.22,69.31,1.42,2.28,1
10898,99.32,2.16,74.56,4.63,1.02,21.12,2
12367,17.6,33.32,31.77,39.75,1.16,4.46,1
12787,16.13,38.98,54.9,15.59,0.85,8.96,1
10468,11.72,38.99,40.31,46.29,0.75,14.63,1
9403,3.91,46.1,26.91,12.02,0.61,8.93,1
6890,44.3,47.86,34.61,52.37,1.61,14.48,1
9732,3.29,32.85,19.65,15.59,0.68,9.84,0
11885,8.67,28.86,22.02,40.93,1.11,9.1,1
2703,13.19,38.12,39.6,24.26,0.85,7.1,1
5942,24.53,40.51,47.8,81.44,13.11,5.08,1
3917,7.25,12.38,16.27,29.81,1.81,3.98,0
5245,11.07,23.06,18.65,53.15,0.77,5.81,1
1928,48.29,41.69,57.18,26.58,1.15,13.94,2
5710,16.69,27.43,42.24,71.49,0.99,6.61,1
6256,68.54,87.4,133.08,72.74,1.94,22.31,4
5333,12.17,17.82,29.99,62.49,1.09,9.66,1
8980,16.51,24.22,2.33,11.84,0.08,13.15,0
3350,28.36,67.6,59.01,21.16,1.37,17.52,2
5893,69.16,36.39,110.59,33.85,15.2,9.25,4
11565,15.34,33.77,49.13,25.91,0.68,9.3,1
4272,6.34,11.18,10.87,33.79,0.62,5.7,0
4323,29.84,17.65,28.07,52.94,0.82,9.1,1
9074,7.61,51.91,33.46,20.35,0.68,16.9,1
6935,26.84,41.07,59.03,44.26,1.18,12.93,2
10718,7.54,45.51,44.62,33.84,0.81,10.76,1
8705,10.19,50.58,11.72,19.98,0.0,12.35,1
721,2.82,21.1,13.61,11.88,0.92,19.3,0
2394,7.17,30.54,0.0,23.92,0.56,4.36,0
1423,13.29,13.0,21.65,6.2,0.65,5.64,0
6996,15.63,31.77,40.96,38.01,1.23,9.52,1
8843,8.02,8.47,5.4,11.35,0.07,3.57,0
8770,9.2,35.07,10.75,15.91,0.17,8.66,0
9214,1.97,18.2,10.99,8.52,0.53,6.94,0
13642,40.32,2.46,40.91,8.42,0.34,30.44,0
13386,14.82,3.56,16.79,6.39,1.08,23.78,0
7915,3.37,11.86,18.25,23.15,0.5,19.19,0
3984,4.0,11.0,7.14,36.14,1.95,7.06,0
5067,8.78,11.0,10.75,104.84,0.9,12.31,3
12630,18.87,9.02,26.81,12.44,0.42,10.04,0
13392,20.48,0.53,20.86,6.82,1.88,23.58,0
1725,2.0,5.38,3.37,7.95,2.83,5.49,0
10361,9.32,27.8,26.92,21.15,1.03,11.48,1
4104,25.16,12.74,31.73,68.52,1.33,3.84,1
6023,11.91,42.7,48.43,36.11,8.79,15.11,1
6478,31.69,34.9,66.83,23.83,1.39,8.73,2
12651,24.26,11.3,34.95,15.1,0.64,12.3,0
9926,56.51,65.02,112.11,51.83,0.73,6.15,4
10980,25.27,32.24,57.51,3.39,0.84,1.96,2
346,6.87,28.22,20.75,19.6,0.62,17.33,1
5887,6.05,12.01,15.7,32.18,0.78,6.89,0
2658,21.68,17.68,28.22,20.98,0.83,6.27,1
14688,5.9,6.31,10.07,6.14,0.49,5.9,0
13476,14.22,14.97,22.56,6.52,1.72,25.19,0
4093,26.75,20.31,42.7,57.85,1.07,7.26,1
1312,13.1,8.95,21.55,11.12,0.18,8.7,0
556,2.1,15.46,9.94,4.07,0.31,12.72,0
11303,3.53,23.6,20.77,4.15,0.55,3.31,0
7128,17.17,24.4,29.28,22.38,0.71,10.31,1
6601,81.54,66.38,45.44,39.57,0.92,18.5,2
6228,61.75,95.99,132.93,52.71,1.87,19.04,4
12687,25.55,8.67,33.31,12.79,0.35,8.4,0
2979,7.53,21.39,24.94,13.32,0.76,4.15,0
6825,65.36,65.77,105.48,73.85,2.33,15.58,4
6617,30.99,62.46,33.89,54.58,0.96,23.47,1
13096,0.78,2.49,1.1,2.53,0.19,5.69,0
10018,19.29,18.69,31.11,28.86,0.83,11.35,1
10719,14.72,47.22,55.68,47.9,1.11,10.01,2
2142,6.32,21.48,8.74,120.07,0.46,5.37,3
343,6.24,14.01,12.61,15.48,0.92,14.67,0
11748,17.19,45.62,33.49,41.63,1.13,9.83,1
7098,16.15,25.04,28.15,34.65,0.84,9.26,1
10993,5.27,24.94,30.21,9.27,1.23,1.61,0
10276,43.71,59.26,87.19,27.25,1.36,13.06,2
14182,4.62,7.13,6.63,3.88,1.24,7.98,0
6663,65.02,81.51,57.92,50.31,0.87,21.87,2
3116,11.34,30.63,31.84,20.13,1.0,5.26,1
12454,29.29,104.77,78.58,29.93,1.45,18.43,2
12082,17.8,45.98,38.3,43.22,0.81,13.86,1
12489,25.5,65.86,55.47,11.12,1.53,9.3,2
6694,36.4,38.7,20.84,29.62,0.65,21.42,1
7232,45.37,61.2,74.6,57.34,1.9,14.14,2
6937,24.87,39.58,56.62,38.32,0.99,12.7,2
11700,50.36,72.23,77.96,50.39,1.82,10.5,2
13522,27.74,9.84,67.77,10.35,0.97,25.72,2
10385,12.61,21.47,26.76,20.09,1.06,10.6,0
5539,7.84,14.41,20.99,12.12,0.99,5.91,0
11904,12.11,26.46,23.7,38.86,0.64,5.46,1
12901,8.62,42.92,47.85,49.8,2.75,10.66,1
7806,6.36,3.15,5.28,3.42,1.34,3.37,0
12936,81.87,45.89,124.91,36.34,1.46,10.59,4
10169,11.13,18.48,29.59,12.28,0.54,11.7,0
10428,16.44,30.55,38.39,24.04,1.04,11.35,1
9068,4.69,42.71,26.3,24.15,0.71,9.52,1
4002,10.64,4.44,10.8,24.75,1.51,8.64,0
6902,45.81,54.51,74.45,44.78,1.96,12.61,2
7093,19.04,25.24,30.33,38.57,1.02,9.47,1
13831,2.0,4.08,3.79,4.77,0.97,3.02,0
4312,26.66,18.67,31.12,36.16,0.98,8.26,1
11666,42.34,60.72,66.12,41.97,1.51,9.79,2
5679,6.55,11.32,14.08,17.26,0.78,6.03,0
9581,2.89,16.83,11.0,7.62,0.42,4.86,0
6892,41.26,49.45,81.11,63.31,1.82,22.27,2
1665,4.35,14.96,12.52,35.77,1.13,5.12,0
10183,9.13,20.3,29.42,20.57,0.58,9.32,1
457,17.23,71.77,52.18,17.22,0.91,16.0,2
488,7.19,15.26,14.04,9.84,0.58,10.5,0
8070,16.64,16.77,45.28,3.8,0.7,12.03,0
5960,10.49,18.21,22.84,15.2,9.02,4.2,0
6493,12.69,28.7,38.71,31.55,1.67,7.04,1
7501,13.55,31.73,30.32,24.91,0.95,10.81,1
12409,15.13,48.49,37.99,26.35,1.26,9.73,1
1656,2.26,6.1,6.13,27.48,1.4,4.66,0
396,3.87,38.27,23.58,10.18,1.07,12.15,1
14607,8.15,17.18,15.71,9.91,0.85,8.42,0
3642,9.56,16.06,25.62,6.58,2.74,12.8,0
2493,38.94,25.68,1.8,23.89,0.52,5.64,0
12348,6.59,21.38,16.67,10.77,0.93,6.11,0
3708,5.93,7.17,13.11,3.86,0.31,12.17,0
2928,7.47,27.54,27.94,17.25,0.8,4.03,1
5178,17.33,36.82,30.08,43.43,0.78,20.65,1
10312,13.08,46.13,48.41,14.94,1.16,12.7,1
3047,3.7,12.39,12.58,8.81,0.64,5.3,0
3353,16.13,55.49,42.63,17.21,1.47,16.06,1
14520,0.63,2.88,1.93,1.3,0.82,1.07,0
6395,4.48,48.23,45.61,55.28,0.96,13.08,1
14433,1.11,2.87,1.59,1.37,0.67,1.07,0
10747,13.5,43.05,48.57,31.61,0.97,9.87,1
8521,4.58,33.5,24.68,23.69,1.3,5.98,1
4047,17.46,11.95,7.25,19.89,0.8,9.84,0
7394,14.43,42.68,36.36,35.7,1.29,15.82,1
1777,5.06,17.39,10.93,23.05,9.03,1.32,0
13664,30.34,4.99,35.33,7.83,1.38,30.06,0
7869,4.48,11.32,10.31,37.56,0.63,7.02,0
9166,5.67,31.21,18.75,15.34,0.7,5.92,0
80,7.51,56.0,35.9,19.53,0.15,29.88,1
8790,8.37,27.79,8.08,30.84,0.14,9.25,1
976,18.6,30.42,53.75,13.4,1.53,5.1,1
4096,18.88,11.35,26.24,62.38,0.82,4.65,1
7682,37.81,45.67,59.24,36.15,1.14,17.66,2
7569,19.37,42.94,41.04,34.32,0.89,10.71,1
1157,29.56,36.7,64.23,9.16,0.01,5.91,2
4980,8.35,19.36,14.79,108.72,0.54,8.8,3
10625,10.12,34.98,37.66,40.5,0.93,11.67,1
4575,3.25,11.22,12.39,55.0,1.89,6.89,1
14387,0.66,1.35,1.15,9.82,0.43,2.28,0
10137,8.39,24.45,29.19,16.23,0.9,12.89,0
5479,7.49,13.32,20.28,83.05,0.81,6.32,3
7459,9.54,22.08,21.86,28.01,0.86,9.3,1
3498,4.07,9.89,8.67,16.0,0.64,14.84,0
6595,70.46,72.44,52.25,36.31,1.53,22.2,2
9963,24.49,26.37,23.45,16.35,0.0,6.13,1
4350,6.33,21.44,16.33,58.7,0.52,8.94,1
10672,12.92,43.61,43.07,26.27,0.78,10.5,1
13685,5.82,9.92,15.1,5.54,2.02,39.54,0
13620,23.47,8.28,31.31,7.37,0.96,25.88,0
2316,5.59,27.16,0.0,22.04,0.13,3.65,0
9254,5.93,28.86,19.71,20.93,0.38,7.2,1
1335,14.0,11.15,24.29,9.29,1.29,20.75,0
9361,10.08,56.68,37.98,11.75,0.68,32.99,1
23,2.9,0.21,3.75,23.37,0.29,8.25,0
12975,42.04,48.29,70.27,22.17,0.81,9.21,2
12173,21.63,67.79,51.61,21.72,1.68,10.69,2
9702,4.17,23.54,13.8,8.1,0.62,2.68,0
2992,5.88,16.78,20.78,10.19,0.86,5.41,0
1638,4.01,25.55,17.37,30.96,2.85,2.46,1
259,3.84,12.76,9.99,12.81,0.41,7.54,0
3073,7.34,26.64,27.62,14.52,0.98,4.69,0
3087,10.61,30.58,32.46,17.39,0.83,4.47,1
1435,10.05,10.88,19.25,5.15,0.75,10.01,0
3567,18.87,27.23,46.1,11.29,4.42,18.2,1
4467,8.66,10.95,12.26,14.83,10.6,5.29,0
6129,21.93,39.88,56.22,36.07,0.93,9.12,2
13902,1.82,20.97,12.65,5.38,0.88,4.78,0
8651,10.58,54.03,10.45,31.73,0.38,23.1,1
2968,9.57,20.9,24.36,12.52,0.68,8.45,0
7989,11.8,16.46,37.01,10.16,0.58,10.53,0
14661,6.1,16.67,18.68,6.93,1.06,6.45,0
1225,23.22,13.55,30.28,22.5,0.84,25.04,1
11160,100.66,109.37,182.61,32.01,1.24,10.03,4
12873,9.35,7.94,16.89,8.72,0.42,6.47,0
10884,131.2,1.43,102.77,8.4,1.22,19.37,4
9224,3.48,22.68,14.57,9.63,0.3,5.38,0
6719,40.88,71.58,39.52,40.69,0.33,24.49,2
12515,4.5,31.13,19.34,14.84,1.1,8.3,0
7339,29.03,47.54,53.99,34.96,1.21,21.51,2
5523,6.34,9.96,16.1,3.17,1.01,6.69,0
5884,7.55,11.64,15.98,36.07,0.59,4.69,0
14436,1.31,3.81,2.03,1.81,0.68,1.93,0
11285,3.12,12.2,15.27,5.43,0.45,2.49,0
7630,89.41,67.09,116.25,53.66,2.19,14.72,4
4544,6.53,19.56,18.2,58.39,2.46,11.85,1
6612,30.11,59.88,36.84,61.98,0.7,19.37,1
9323,7.79,42.33,27.18,15.35,0.56,8.43,1
4091,27.17,23.61,35.4,57.47,0.82,5.22,1
9125,8.9,52.52,34.8,22.99,0.86,13.35,1
6979,51.52,76.17,79.53,46.53,2.51,21.02,2
670,2.21,12.32,6.04,20.39,0.45,16.43,0
2970,8.35,21.68,25.92,13.23,0.7,8.36,0
5434,5.99,11.39,17.1,64.33,1.04,19.54,1
8355,2.89,0.71,1.96,11.97,1.15,7.07,0
8641,11.63,59.47,18.69,38.92,0.51,36.43,1
3168,9.03,27.31,26.74,13.01,1.07,8.56,0
12239,7.91,20.87,17.23,28.0,0.9,5.1,0
2772,12.57,31.03,34.43,20.42,0.97,5.49,1
10715,6.99,43.68,40.45,32.8,1.06,9.95,1
276,4.99,8.7,8.78,13.07,0.44,10.4,0
7894,32.68,19.23,74.24,21.46,1.09,24.61,2
940,7.47,29.9,37.38,3.65,1.42,3.54,0
11527,60.88,68.55,123.03,26.97,1.23,12.15,4
11823,12.39,41.55,35.76,30.18,0.35,10.04,1
12633,23.89,9.7,32.84,11.17,0.44,9.46,0
12941,37.12,37.85,73.98,32.47,0.73,9.85,2
8143,40.79,14.87,82.87,5.25,0.98,10.34,2
807,1.79,11.83,7.74,13.53,0.47,16.2,0
3334,24.93,69.34,57.14,15.64,1.58,13.23,2
372,1.79,45.82,25.35,14.06,1.35,23.42,1
1374,29.45,10.03,39.44,13.06,0.46,11.65,0
10975,7.67,33.06,40.73,2.84,0.71,2.74,1
8890,7.99,14.93,8.08,4.83,0.17,4.23,0
7581,87.59,68.28,114.07,56.75,2.32,12.34,4
1580,6.31,14.85,11.58,16.15,4.87,6.53,0
8243,61.18,17.95,119.7,21.01,1.27,14.33,2
3813,15.79,20.24,30.68,39.83,3.04,14.89,1
1167,30.79,35.39,64.18,9.06,0.01,4.08,2
6832,24.44,52.73,64.19,36.28,1.3,13.7,2
10799,3.77,21.98,21.71,26.06,0.59,11.67,1
1661,1.85,6.58,5.89,21.93,0.48,2.49,0
9226,3.41,27.03,16.84,14.34,0.3,7.1,0
